"FEN,Evaluation"
"8/8/2P3k1/2p3Np/P6K/8/8/5r2 w - -,207"
"8/8/2P1N1k1/2p4p/P6K/8/8/5r2 b - -,245"
"8/8/7p/4K1pk/8/7P/8/3B4 b - -,217"
"4N3/7k/8/4K1p1/5N2/8/8/8 w - -,152"
"5rk1/7N/8/8/8/8/1BB5/6K1 b - -,166"
"5k2/8/4KN2/1B6/8/8/8/8 w - -,191"
"8/6k1/R7/1r5P/5PK1/8/8/8 w - -,150"
"7k/8/8/4b1n1/8/8/5PPP/1R5K b - -,362"
"8/4k3/R3R3/8/8/prr5/6K1/8 b - -,-275"
"4R3/7k/8/2p5/2P1K1N1/7P/6r1/4n3 w - -,318"
"3R4/P5k1/8/8/8/r1PK4/8/8 b - -,338"
"5r2/1b3pp1/6k1/2R5/8/8/5PPP/6K1 w - -,-187"
"5r2/5ppk/8/3b4/2R5/8/5PPP/6K1 w - -,-294"
"5r2/5pp1/6k1/3b4/7R/8/5PPP/6K1 w - -,-275"
"3r4/5p1p/8/3N1k2/8/8/1B6/7K w - -,-279"
"8/3nN3/4p1P1/kp2p3/p3P3/8/K7/8 w - -,355"
"8/K5p1/1p5k/1P5p/P1n5/8/3N4/8 b - -,365"
"8/K5p1/7k/pP5p/8/8/3n4/8 w - -,330"
"8/8/PP6/8/6k1/8/7K/5r2 w - -,302"
"3k4/R3B1N1/8/3r4/8/8/4K3/8 b - -,392"
"8/k7/8/1pp3pp/8/1P2K1P1/3N4/8 b - -,363"
"8/k7/p7/1Pp3pp/2N5/1P2K1P1/8/8 b - -,262"
"4R3/7k/8/2p5/2P1K1N1/3n3P/6r1/8 b - -,302"
"7k/p7/1n3b2/p7/4N3/1R3P2/8/1K6 b - -,239"
"7k/p7/1n3b2/8/p3N3/1R3P2/8/1K6 w - -,297"
"5k2/7R/4K3/4P3/8/8/8/3r4 w - -,292"
"R7/6k1/P7/8/8/8/6K1/r7 w - -,186"
"8/4k3/2B5/2K5/4N3/8/8/8 b - -,297"
"7k/8/8/4b1n1/8/8/5PPP/R6K b - -,-261"
"8/8/2N5/8/1K2k3/1B6/8/8 w - -,207"
"7N/3k2p1/8/4K1N1/8/8/8/8 w - -,152"
"8/8/8/2p1K3/1NP5/8/3k4/n2B4 w - -,271"
"8/pp2pk2/8/8/1P6/8/P4K1P/8 b - -,246"
"5rb1/1k6/8/6R1/1K1N1p2/P6P/6P1/8 b - -,344"
"6k1/6pp/8/8/1P6/8/2r3PP/4R2K w - -,361"
"5Br1/6P1/8/8/2p2p2/1p1k4/pK6/3R4 b - -,-399"
"8/1p3P1k/4p3/6B1/8/1P6/8/1n4K1 b - -,264"
"2r5/8/5K1k/8/6R1/6NP/8/8 b - -,387"
"1r4k1/7p/4N3/8/8/8/1BB5/6K1 w - -,183"
"2k5/6p1/3NK3/3N4/8/8/8/8 b - -,152"
"8/5KN1/2k3N1/8/8/8/8/8 w - -,254"
"8/5P2/8/4P3/8/7k/r7/6K1 b - -,259"
"3R4/8/8/3k1K2/8/1pp5/8/8 b - -,-150"
"3R4/8/8/2k2K2/8/1pp5/8/8 w - -,-254"
"1R6/8/8/5K2/8/2p1k3/1p6/8 w - -,-251"
"1R6/8/8/4K3/8/2p1k3/1p6/8 b - -,-168"
"1R6/8/8/5K2/8/2p5/1p2k3/8 w - -,-266"
"7N/6P1/2k5/7K/8/4r3/8/8 b - -,318"
"4r2N/6P1/2k5/7K/8/8/8/8 w - -,253"
"8/5p2/5k1P/2p4P/1p1p4/8/2K5/8 b - -,233"
"3b4/4n1Rk/5B2/8/8/8/8/5K2 b - -,363"
"3BR3/5k2/2n5/8/8/8/8/5K2 w - -,278"
"8/4K3/4N2k/8/6p1/6N1/8/8 b - -,169"
"8/8/4k3/8/8/7p/2K4P/2bn4 w - -,-313"
"8/1p6/3k4/4n3/p2KP2p/P6N/1P6/8 b - -,-374"
"8/8/2n5/2k5/pp2P2p/P2K3N/1P6/8 w - -,-394"
"8/3k4/5K2/2B1P3/1P6/8/8/5b2 b - -,218"
"8/3k4/5K2/2B1P3/1Pb5/8/8/8 w - -,218"
"8/4k3/3b4/1K6/7p/5B1P/PP6/8 b - -,177"
"4k3/6p1/5p1p/4n3/4R3/7P/5PP1/6K1 b - -,342"
"8/8/4b3/6Pp/3B3P/1pK1P1k1/8/8 w - -,-344"
"8/5kpp/P7/2B5/4b3/8/1P4PP/6K1 b - -,165"
"4R3/6k1/8/6n1/8/2b5/5PPP/7K w - -,328"
"8/8/2R5/5kn1/8/8/5PPP/4b2K w - -,348"
"8/8/p4kp1/8/8/1B3K2/3b4/8 w - -,-317"
"4k3/7p/6p1/1r6/8/5N2/2B2P1P/b5K1 w - -,296"
"8/5k2/7p/nPB1p2P/5p2/5P2/6K1/8 b - -,253"
"8/8/5k1p/nPB1p2P/5p2/5P2/6K1/8 w - -,186"
"8/1k4p1/5p2/6p1/5r2/4K3/5P2/2R5 b - -,-277"
"8/5kp1/5p1p/4n3/8/7P/5PP1/4RK2 w - -,344"
"4k3/6p1/5p1p/4n3/8/7P/5PP1/4RK2 b - -,250"
"8/4K3/3N2pk/6N1/8/8/8/8 w - -,349"
"8/4K3/4N1k1/8/6p1/6N1/8/8 w - -,176"
"8/8/r5kP/6P1/1R3K2/8/8/8 w - -,168"
