"FEN,Evaluation"
"8/3r1pk1/4p3/7p/5P1P/4R1K1/8/8 w - -,-239"
"8/5p2/r7/P3k1p1/R5P1/4K3/5P2/8 b - -,364"
"8/8/3k4/8/2K1N3/8/6B1/8 b - -,216"
"1N6/8/B7/8/3k4/1K6/8/8 w - -,204"
"5N2/8/6p1/3n1p2/k4P2/5K1P/8/8 b - -,388"
"8/k7/8/2K1B3/4N3/8/8/8 b - -,338"
"8/8/1k1K1N2/3B4/8/8/8/8 b - -,207"
"6k1/5p2/4p1p1/3p4/8/1n1K2PP/8/3N4 w - -,-384"
"8/4N3/8/5B2/3k1K2/8/8/8 b - -,172"
"8/8/8/8/2B5/6k1/4K3/5N2 b - -,301"
"8/3NP3/7k/6r1/8/8/8/4K3 b - -,263"
"8/8/6B1/3k4/3N1K2/8/8/8 w - -,171"
"3K4/8/8/5N2/6B1/8/1k6/8 w - -,201"
"8/8/4k3/1NB5/2K5/8/8/8 b - -,207"
"8/8/8/3k4/8/5K1N/4B3/8 b - -,194"
"8/8/5KB1/3k4/8/5N2/8/8 b - -,180"
"8/5B2/4N3/8/4k3/8/8/4K3 w - -,208"
"8/pp3pk1/2p5/8/8/2P5/PP3K1P/8 b - -,206"
"8/pp3p2/2p3k1/8/8/2P5/PP3K1P/8 w - -,257"
"1N6/3B4/8/2K5/8/8/8/k7 b - -,202"
"8/8/8/2K5/BN6/8/1k6/8 b - -,210"
"8/8/8/8/3k4/3B2N1/8/4K3 w - -,214"
"8/8/8/2N4B/2k5/8/8/4K3 w - -,189"
"8/r4p1p/4p3/4R3/5kP1/5P1K/8/8 w - -,-238"
"8/8/8/8/8/4k3/2K1B3/4N3 w - -,199"
"8/3B4/8/4k1N1/6K1/8/8/8 w - -,177"
"8/3B1N2/8/8/4k1K1/8/8/8 w - -,187"
"2n5/p7/p7/k1B5/8/2N5/2K5/8 w - -,365"
"8/8/7n/4k3/3b1p2/1B6/2K5/6R1 w - -,260"
"8/3k4/8/3K4/2N5/8/8/4B3 b - -,203"
"8/2k5/8/3K4/2N5/8/8/4B3 w - -,253"
"8/7B/8/6N1/2k1K3/8/8/8 b - -,194"
"8/6k1/2B1K3/8/8/8/5N2/8 w - -,165"
"2b5/4N1k1/8/8/8/8/8/K1B5 w - -,208"
"2N5/6k1/8/8/8/8/8/K1B5 b - -,209"
"8/8/8/2k5/5K2/7B/8/6N1 b - -,208"
"8/5k2/3K2N1/8/8/3B4/8/8 b - -,208"
"8/5B2/8/8/3NK2k/8/8/8 b - -,167"
"6k1/p4p1p/6p1/2PR4/2r5/8/6KP/8 w - -,-375"
"8/2k5/5K2/1B1N4/8/8/8/8 b - -,192"
"8/4p1k1/6p1/5pN1/2R5/2P1nK1P/8/8 b - -,-382"
"7k/8/5KB1/8/8/6N1/8/8 w - -,194"
"8/8/2B5/1N3k2/3K4/8/8/8 w - -,227"
"8/6pk/R6p/1p2PN2/5n2/7r/8/6K1 b - -,-373"
"8/8/2N5/8/8/2kB4/4K3/8 w - -,171"
"8/8/8/4k3/8/5K2/2BN4/8 b - -,172"
"8/8/8/8/3k4/5K2/2BN4/8 w - -,167"
"8/8/8/8/8/2kB4/3N4/3K4 w - -,166"
"8/8/8/4k3/2KN4/8/5B2/8 w - -,193"
"8/8/5k2/8/8/4K3/8/3N1B2 w - -,214"
"6B1/8/5k2/8/4KN2/8/8/8 w - -,171"
"8/8/k7/8/2NK4/8/8/6B1 b - -,198"
"8/1k3p2/r7/P5p1/2R5/1K4P1/5P2/8 w - -,248"
"8/8/2B5/2k2K2/3N4/8/8/8 w - -,157"
"8/6k1/6p1/r5P1/5P1p/1R3K1P/8/8 b - -,376"
"8/8/5k2/3B4/8/5N2/3K4/8 b - -,221"
"8/8/8/8/2N1B3/8/1k1K4/8 b - -,203"
"8/8/3k4/8/8/3B4/8/4K1N1 b - -,212"
"8/8/B1N5/5k2/3K4/8/8/8 w - -,189"
"3N4/8/8/4k3/8/7B/8/4K3 w - -,218"
"5K2/8/8/8/8/7R/5p2/5k2 b - -,-324"
"5K2/8/8/8/8/7R/5pk1/8 w - -,-373"
"8/8/3KB3/5N2/5k2/8/8/8 b - -,182"
"8/8/3KB3/5N2/4k3/8/8/8 w - -,183"
"8/8/3K4/5B2/8/1k6/2N5/8 b - -,200"
"8/8/4k3/2K5/8/5B2/3N4/8 b - -,207"
"8/8/4k3/6K1/8/5N2/8/5B2 b - -,197"
"8/8/8/3k2K1/8/5N2/8/5B2 w - -,195"
"8/8/8/4K3/1k1N4/8/8/5B2 b - -,190"
"8/8/k7/8/3K4/4B3/2N5/8 w - -,265"
"8/8/8/4k3/3N4/4B3/5K2/8 b - -,209"
"3b3k/1n6/2K4P/3N4/8/5N2/7P/8 b - -,385"
"8/8/4B3/7k/4K3/8/6N1/8 b - -,202"
"8/8/4B3/6k1/4K3/8/6N1/8 w - -,203"
"8/1p1k4/1P3K2/8/1P3B2/8/8/8 b - -,171"
"2k5/1p6/1P2K3/8/1P3B2/8/8/8 b - -,164"
"3k4/1p6/1P2K3/8/1P3B2/8/8/8 w - -,164"
"2k5/1p6/1P3K2/8/1P3B2/8/8/8 w - -,173"
"2B5/3N4/2K5/8/8/1k6/8/8 b - -,215"
"8/8/8/8/K1B5/8/3N4/1k6 b - -,212"
"8/8/8/8/1KB5/3N4/5k2/8 b - -,198"
"8/8/B1N5/8/2K5/8/8/2k5 b - -,207"
"8/5P2/7K/2R5/7k/8/2p3r1/8 b - -,265"
"8/8/3K4/8/3N4/8/1k6/5B2 w - -,185"
"8/5p2/r6p/P4P2/2k4P/4K3/8/R7 b - -,358"
"8/5p2/r7/P4k2/5R2/5KP1/8/8 b - -,206"
"8/8/r3k1pp/P7/R4KpP/8/5P2/8 w - -,170"
"8/8/r5pp/P1k5/R4KP1/8/5P2/8 w - -,328"
"8/8/8/5B2/3k4/8/8/4K1N1 w - -,193"
"8/8/8/5B2/3k4/5N2/8/4K3 b - -,188"
"8/8/3k4/5K2/8/8/6B1/6N1 b - -,198"
"8/8/8/2k2K2/8/8/6B1/6N1 w - -,283"
"8/2k2p2/r6p/P6p/R2K1PP1/8/8/8 w - -,314"
"8/2k5/8/3K4/8/4N3/8/6B1 b - -,213"
"4k3/5p2/r6p/P3K2P/R4P2/8/8/8 b - -,350"
"8/8/1NK5/4B3/8/1k6/8/8 b - -,174"
"8/8/5k2/8/6K1/1B4N1/8/8 b - -,191"
"8/8/8/4k3/6K1/1B4N1/8/8 w - -,185"
"6B1/8/2N5/8/1K6/3k4/8/8 b - -,236"
"6B1/8/2N5/8/1K6/4k3/8/8 w - -,236"
"4N3/8/2B5/8/8/6p1/5kb1/7K w - -,238"
"4N3/8/8/8/8/6p1/5kB1/7K b - -,223"
"8/2B5/2N5/8/3K4/8/5k2/8 w - -,188"
"8/2B5/2N5/8/4K3/8/6k1/8 w - -,175"
"8/4k3/6K1/2N2B2/8/8/8/8 b - -,175"
"8/8/8/3k1BK1/8/3N4/8/8 b - -,164"
"8/8/8/5BK1/2k5/3N4/8/8 w - -,162"
"8/5k2/4ppp1/8/5P2/4PB2/1r3K2/5R2 w - -,239"
"6k1/1R3p2/7p/4PK2/2r2PP1/8/8/8 w - -,260"
"8/4b3/8/8/2k5/8/PP3B2/2K5 b - -,242"
"8/8/8/3NK3/8/3B4/k7/8 w - -,153"
"8/8/3N4/2k5/8/8/3K3B/8 w - -,196"
"8/8/3k4/8/2KN4/8/8/7B w - -,197"
"4R1N1/2k5/3r4/1p3pK1/8/3n4/8/8 w - -,-271"
"4R1N1/2k5/3r4/1p3K2/8/3n4/8/8 b - -,-292"
"4R1N1/2k5/3r4/5K2/1p6/3n4/8/8 w - -,-308"
"8/8/8/8/8/1Nk5/8/4KB2 w - -,195"
"8/6k1/8/8/7P/5B2/7P/5K2 w - -,262"
"7k/8/8/6K1/7P/5B2/7P/8 b - -,188"
"4k3/8/8/1r2b3/8/6RP/4R2K/8 w - -,391"
"4k3/8/8/1r2b3/8/6RP/4R1K1/8 b - -,385"
"8/5k2/8/1r2b3/8/6RP/4R1K1/8 w - -,400"
"5b1N/1B2p3/5k2/8/4Pn2/7K/8/8 w - -,-282"
"8/5pk1/7p/p6p/8/3r4/5PP1/R5K1 b - -,-155"
"8/5p2/5k1p/p2r3p/R7/8/5PP1/5K2 b - -,-187"
"4k3/8/8/8/8/8/4K3/5BN1 w - -,217"
"4k3/8/8/8/8/4K3/8/5BN1 b - -,215"
"8/8/8/2K5/8/4k3/3N4/5B2 w - -,217"
"8/8/8/2K5/2N1k3/8/8/5B2 w - -,207"
"8/8/5N2/2BK1k2/8/8/8/8 w - -,155"
"8/8/8/5NB1/4K3/8/5k2/8 w - -,176"
"8/r6p/p1k5/R4KPP/8/8/8/8 b - -,255"
"8/r6p/pk6/4RKPP/8/8/8/8 b - -,313"
"8/r6p/1k6/p3RKPP/8/8/8/8 w - -,263"
"8/r6p/1k4P1/p3RK1P/8/8/8/8 b - -,267"
"8/r7/1k4P1/p3RK2/8/8/8/8 b - -,269"
"8/r7/1k4P1/4RK2/p7/8/8/8 w - -,267"
"8/r7/1k3KP1/4R3/p7/8/8/8 b - -,253"
"8/r7/1k3KP1/4R3/8/p7/8/8 w - -,264"
"8/r5P1/1k3K2/4R3/8/p7/8/8 b - -,262"
"2k5/1p5p/3p1P1P/4P3/r7/8/4K3/1N6 w - -,299"
"2k5/1p5p/3p1P1P/4P3/r7/2N5/4K3/8 b - -,323"
"2k5/1p5p/3p1P1P/4P3/5r2/2N5/4K3/8 w - -,312"
"8/8/3NB3/6k1/4K3/8/8/8 w - -,184"
"1r5b/4P2R/p3k3/8/8/8/2K5/5B2 w - -,279"
"8/8/4B3/8/8/1K6/8/1k2N3 b - -,166"
"8/8/1N1B4/8/4k3/8/4K3/8 w - -,190"
"8/8/pp6/kb2B3/4n3/K3R3/8/8 b - -,259"
"8/8/ppb5/k3B3/4n3/K3R3/8/8 w - -,256"
"8/k1K5/8/2N5/8/8/7B/8 b - -,192"
"8/2N1k3/8/n7/B7/6p1/6Pp/7K w - -,215"
"8/8/3N4/3B4/1K1k4/8/8/8 w - -,175"
"1B6/8/2k5/8/4K3/8/8/5N2 w - -,213"
"8/8/3NB3/4K3/8/k7/8/8 w - -,322"
"8/8/1N1k4/8/3K4/8/6B1/8 b - -,227"
"8/8/1N2k3/8/3K4/8/6B1/8 w - -,206"
"8/8/4k3/3N4/3K4/8/6B1/8 b - -,205"
"8/8/8/3k4/1K1N4/2B5/8/8 w - -,186"
"8/8/8/3kN3/8/3K4/5B2/8 w - -,203"
"8/8/8/3k4/4BB2/3K4/8/8 b - -,212"
"6B1/8/8/8/4k3/8/4K3/6N1 w - -,198"
"8/8/8/1k6/2B5/1NK5/8/8 b - -,218"
"8/6p1/5pkp/R3n3/8/7P/5PP1/6K1 b - -,247"
"8/6p1/5pk1/R3n2p/8/7P/5PP1/6K1 w - -,291"
"1R3k2/6p1/5pnp/8/8/7P/5PP1/6K1 b - -,308"
"8/8/8/8/3k1K2/8/6B1/6N1 b - -,194"
"8/5B2/5N2/5k2/2K5/8/8/8 w - -,192"
"8/3N1B2/8/8/2K1k3/8/8/8 w - -,185"
"8/7B/8/4N3/3k1K2/8/8/8 b - -,182"
"8/1B6/2N5/8/2K5/8/2k5/8 w - -,213"
"5k2/8/4B3/4K3/8/5N2/8/8 b - -,209"
"8/8/4B2k/8/6K1/5N2/8/8 b - -,210"
"5K2/6P1/6k1/8/8/8/3r4/8 w - -,246"
"8/8/3K4/8/2Nk2B1/8/8/8 w - -,201"
"8/8/3KB3/8/2Nk4/8/8/8 b - -,200"
"8/8/N7/8/2K1B3/8/8/k7 w - -,208"
"2K5/8/P1P5/8/8/6k1/8/3r4 b - -,255"
"K7/P7/2P5/8/5k2/8/8/2r5 w - -,317"
"8/8/8/1N6/3k4/8/4B3/4K3 b - -,224"
"8/5p2/r1k4p/P6p/R1K5/6P1/5P2/8 b - -,199"
"8/5pk1/r5pP/P6P/R4P2/8/6K1/8 b - -,223"
"8/5p2/r5pk/P6P/R4P2/8/6K1/8 w - -,285"
"8/5p2/r5k1/P7/R4P2/8/6K1/8 w - -,267"
"8/1N6/2k5/8/3B4/2K5/8/8 w - -,214"
"8/1N6/8/1k6/3B4/2K5/8/8 b - -,193"
"8/8/8/2k1B3/4K1N1/8/8/8 b - -,210"
"8/8/8/1B6/8/1K6/1N6/k7 b - -,182"
"8/8/4k3/5N2/8/8/8/4K1B1 w - -,224"
"8/8/8/8/8/2k5/2N2B2/4K3 w - -,199"
"8/8/8/1k6/5B2/8/4K3/5N2 w - -,264"
"8/8/B7/3N4/3k4/8/8/4K3 w - -,202"
"8/7p/8/5kp1/2K5/6P1/r1P1RP1P/8 b - -,305"
"8/8/8/3B2k1/2N5/6K1/8/8 b - -,200"
"8/8/8/3B1k2/2N5/6K1/8/8 w - -,198"
"8/8/8/3B4/2K5/4k3/8/6N1 b - -,202"
"8/8/8/3B4/2K5/7N/5k2/8 b - -,178"
"8/8/8/3B4/2K5/6kN/8/8 w - -,193"
"8/8/8/8/8/3N4/2k2K2/5B2 w - -,200"
"8/8/8/8/3k4/3N4/3K2B1/8 w - -,196"
"4B3/8/8/8/4N3/2k5/8/4K3 b - -,214"
"8/8/5k2/R4p2/6P1/7P/p5K1/r7 b - -,-299"
"8/8/8/1BK1N3/8/2k5/8/8 b - -,191"
"8/8/8/8/4B3/K2N4/8/1k6 b - -,178"
"8/8/8/6k1/4K3/4N3/4B3/8 w - -,200"
"3r4/6k1/5n1p/4R3/4p2P/4PPK1/8/8 b - -,-331"
"8/2P2k2/8/8/8/8/5r2/3K4 b - -,253"
"8/8/8/8/8/4kB2/3N4/4K3 b - -,183"
"8/8/8/6N1/2k5/8/2B5/4K3 w - -,200"
"8/8/8/k2N4/2BK4/8/8/8 b - -,174"
"8/2k5/P7/1p6/8/PK6/5Bp1/8 w - -,201"
"8/8/4Npk1/n2K2pp/P6P/6P1/8/8 w - -,343"
"8/8/4k3/1B6/4NK2/8/8/8 b - -,196"
"8/4k3/2B5/8/3KN3/8/8/8 b - -,224"
"8/8/8/8/3k4/8/3K4/3BN3 w - -,208"
"8/8/8/8/3k4/5B2/3K2N1/8 b - -,181"
"8/4kp2/r6p/P4P2/R3K2P/8/8/8 b - -,362"
"8/5p2/r2k3p/P4P2/R3K2P/8/8/8 w - -,372"
"8/5p2/r4k2/P7/R4PK1/8/8/8 w - -,347"
"8/5B2/8/8/4N1k1/4K3/8/8 b - -,207"
"8/8/5k2/3K4/2N5/7B/8/8 b - -,168"
"8/b7/P5kp/1B3p2/8/4PK2/5P2/8 w - -,314"
"8/3BK3/1k1N4/8/8/8/8/8 w - -,181"
"8/8/4B3/4k3/3N4/2K5/8/8 b - -,196"
"8/8/8/8/4k3/1B6/2K5/3N4 w - -,178"
"8/8/5k2/8/7P/5B2/7P/5K2 b - -,231"
"8/8/8/8/3k1K2/8/3N2B1/8 b - -,172"
"8/8/8/8/2k2K2/1N6/6B1/8 w - -,166"
"8/8/8/4k3/8/4K3/8/3N1B2 w - -,182"
"8/8/8/8/5K2/4N3/8/1k3B2 w - -,169"
"8/PR6/3k4/8/2K5/2P5/8/r7 w - -,285"
"8/4K3/4B3/8/8/2k5/5N2/8 w - -,192"
"8/8/8/8/4k3/1B4K1/8/6N1 w - -,167"
"8/8/8/8/3k1N2/1B4K1/8/8 w - -,171"
"8/8/8/5K2/8/8/1k6/2N2B2 w - -,197"
"8/3K4/3B4/1k1N4/8/8/8/8 b - -,183"
"4R3/5p2/3K1kpp/8/8/8/8/8 b - -,244"
"6B1/8/8/4NK2/8/8/6k1/8 b - -,176"
"6B1/8/8/4NK2/8/8/8/5k2 w - -,169"
"8/8/4B3/8/3k4/5KN1/8/8 w - -,184"
"8/8/8/8/4k1B1/2K2N2/8/8 b - -,293"
"1N6/1B6/8/2K5/8/3k4/8/8 w - -,217"
"8/8/2N1B3/1K6/8/2k5/8/8 b - -,215"
"8/8/8/4N3/4K3/2k5/6B1/8 b - -,204"
"8/8/8/8/8/2k2N2/8/1B1K4 b - -,193"
"8/8/8/8/2k5/5N2/8/1B1K4 w - -,192"
"8/8/1NBK4/8/1k6/8/8/8 b - -,196"
"8/8/8/4k3/2B5/5K2/1B6/8 b - -,292"
"k6N/8/8/8/8/8/6K1/B7 b - -,203"
"8/8/6k1/4K3/8/1B6/6N1/8 b - -,272"
"8/8/8/2K5/2B5/k7/N7/8 b - -,203"
"8/8/8/8/3k4/8/4BN2/4K3 w - -,194"
"8/8/3k4/8/3K4/1BN5/8/8 b - -,388"
"8/3k2N1/8/4K3/2B5/8/8/8 b - -,216"
"8/5B2/8/4k3/5NK1/8/8/8 b - -,152"
"6B1/8/8/3K4/1k1N4/8/8/8 w - -,210"
"8/4N3/8/5k2/2B5/3K4/8/8 b - -,196"
"8/7B/8/8/2kN4/8/3K4/8 w - -,179"
"8/8/8/8/2k5/8/3K4/1B3N2 w - -,181"
"8/8/6B1/8/2k5/4K3/8/2N5 w - -,262"
"8/5k2/8/NB1K4/8/8/8/8 w - -,255"
"8/8/6k1/NB2K3/8/8/8/8 w - -,213"
"8/8/2N5/8/6B1/1K6/8/1k6 b - -,326"
"8/8/1N6/2K2B2/8/8/k7/8 w - -,206"
"5k2/1R6/1p3r1p/8/8/P6P/5KP1/8 w - -,158"
"6k1/1R6/1p4rp/8/8/P4K1P/6P1/8 w - -,299"
"6k1/1R6/1pr4p/8/8/P4KPP/8/8 w - -,318"
"6k1/1R6/1pr4p/8/6K1/P5PP/8/8 b - -,318"
"7k/1R6/1pr4p/5K2/8/P5PP/8/8 b - -,330"
"8/8/4B3/8/8/2k5/3N4/4K3 w - -,203"
"K4k2/P7/8/8/8/1r6/7R/8 b - -,289"
"K7/P7/2r5/8/8/6k1/8/8 w - -,251"
"8/8/4BK2/3k4/8/5N2/8/8 b - -,179"
"8/8/4BN2/3K4/8/3k4/8/8 w - -,202"
"8/8/r5pp/P3k3/7P/5KP1/8/R7 w - -,384"
"8/5N2/4k3/8/4B3/3K4/8/8 w - -,170"
"8/8/8/8/NK6/3k4/B7/8 w - -,176"
"8/8/8/8/4k3/8/6KN/6B1 w - -,228"
"8/8/8/3R4/8/2k3K1/8/8 b - -,246"
"8/5B2/8/2N1k3/2K5/8/8/8 b - -,178"
"8/8/2k5/8/3K4/8/7N/6B1 b - -,210"
"8/8/8/8/1N6/1k2K3/8/5B2 w - -,237"
"8/8/8/3N4/8/4K3/k7/5B2 w - -,230"
"8/8/8/8/2K2k2/6N1/8/5B2 w - -,198"
"8/8/8/3k2N1/6B1/4K3/8/8 b - -,210"
"2B5/1Pk3PK/8/8/8/8/8/5r2 b - -,264"
"2B5/1Pk3PK/8/8/8/8/8/7r w - -,263"
"2B5/1Pk3P1/6K1/8/8/8/8/7r b - -,270"
"2B5/1Pk3P1/6K1/8/8/8/8/6r1 w - -,267"
"2B5/1Pk2KP1/8/8/8/8/8/5r2 w - -,352"
"8/1Pk2KP1/8/5B2/8/8/8/5r2 b - -,273"
"8/8/5K2/1B2N3/4k3/8/8/8 w - -,214"
"8/5N2/8/5K2/3k4/3B4/8/8 w - -,187"
"8/2N5/B7/3k4/8/8/8/4K3 b - -,194"
"8/2N5/B7/8/3k4/8/8/4K3 w - -,205"
"8/8/8/8/1K6/4k3/4B3/N7 w - -,221"
"8/8/2N5/2K5/8/2k4B/8/8 w - -,205"
"8/3k4/r5p1/P1K4p/R4P2/6P1/8/8 b - -,267"
"8/4k3/4N3/3K4/2B5/8/8/8 b - -,213"
"8/8/N7/8/1k1K4/8/8/1B6 b - -,221"
"8/2b5/8/1Bp5/3p1k2/4p3/4K3/8 w - -,-171"
"8/8/p5R1/P3k3/4p3/P6P/1r4P1/5K2 w - -,203"
"8/8/2N5/3B4/4K3/8/2k5/8 b - -,199"
"6k1/1R6/6p1/7p/r3K3/6PP/5P2/8 w - -,258"
"8/7P/6R1/8/6pP/8/r4k2/7K b - -,287"
"8/7P/6R1/8/6pP/r7/5k2/7K w - -,294"
"8/7P/5R2/8/6pP/r7/5k2/7K b - -,294"
"8/7P/5R2/8/6pP/r5k1/8/7K w - -,294"
"8/7P/R7/8/6pP/r5k1/8/7K b - -,294"
"8/8/8/8/2B3k1/2N5/4K3/8 w - -,196"
"8/7N/8/5k2/2BK4/8/8/8 b - -,203"
"8/8/8/1BK5/N7/8/1k6/8 b - -,198"
"8/8/8/1k6/3K2N1/8/7B/8 b - -,211"
"8/1N6/8/1K1B4/8/8/1k6/8 w - -,200"
"8/8/2K5/3N1B2/2k5/8/8/8 b - -,187"
"1N1K4/8/8/3B4/3k4/8/8/8 w - -,207"
"8/8/3k4/8/3B4/3K4/8/5N2 b - -,235"
"8/8/4k3/7B/5K2/7N/8/8 b - -,197"
"8/8/8/3k3B/5K2/7N/8/8 w - -,197"
"5bk1/7p/8/8/7p/8/4K3/8 b - -,-206"
"5bk1/7p/8/8/8/7p/4K3/8 w - -,-206"
"5bk1/7p/8/8/8/7p/5K2/8 b - -,-241"
"8/8/8/5k2/8/5B1N/5K2/8 b - -,190"
"8/8/8/4k3/8/5B1N/5K2/8 w - -,198"
"8/8/5N2/4B3/4K3/8/5k2/8 b - -,186"
"8/8/B1k5/8/8/7N/8/4K3 w - -,208"
"8/p6K/1N2k3/8/1r6/8/7B/R7 w - -,263"
"8/8/5B2/2nk2p1/8/3K2P1/7P/8 w - -,397"
"8/3k4/8/4N3/3K4/1B6/8/8 b - -,214"
"8/7B/8/8/3k2N1/8/3K4/8 b - -,165"
"8/8/4N3/2K1k3/8/7B/8/8 w - -,186"
"8/8/8/4k3/4N3/2K5/2B5/8 w - -,185"
"8/4k2K/8/6N1/8/3B4/8/8 w - -,178"
"8/8/3b2k1/8/4n3/8/5PPP/7K w - -,-276"
"8/5B2/8/2K5/8/k1N5/8/8 b - -,206"
"8/8/8/8/2K1k3/8/6B1/6N1 b - -,210"
"8/2P2K2/8/8/8/8/3P1r2/k7 w - -,264"
"8/8/2B5/8/8/1Nk5/8/3K4 w - -,199"
"8/8/3k4/5K2/8/8/5B2/5N2 w - -,213"
"8/8/4K3/2k2N2/5B2/8/8/8 b - -,200"
"8/8/8/8/K1B5/1N6/8/3k4 w - -,167"
"8/8/5kB1/8/8/1N1K4/8/8 w - -,152"
"8/8/4K3/5Bk1/6N1/8/8/8 b - -,194"
"3k4/8/8/1BK1N3/8/8/8/8 b - -,226"
"8/8/8/3K4/8/1k1B4/2N5/8 b - -,205"
"2N5/k7/2K5/8/1B6/8/8/8 b - -,185"
"8/8/2B5/2K5/2N5/1k6/8/8 b - -,180"
"8/8/4N3/4k3/8/3K4/8/5B2 w - -,214"
"1k6/pp5R/2p4p/8/2K5/7r/PP6/8 b - -,-330"
"5k2/8/8/8/4BK2/5N2/8/8 w - -,204"
"8/7p/6k1/3N4/3P3b/2R1P3/3r3P/6K1 w - -,165"
"8/8/r2k3p/P4p2/R4P1P/7K/8/8 w - -,184"
"2R5/7p/6k1/3N4/3P3b/4P3/3r3P/6K1 b - -,152"
"2R5/7p/8/3N1k2/3P3b/4P3/3r3P/6K1 w - -,240"
"8/2K1N3/8/2k1B3/8/8/8/8 b - -,183"
"8/8/8/4k3/2B1N3/8/3K4/8 w - -,196"
"k7/2K5/8/B1N5/8/8/8/8 b - -,175"
"8/r4pkp/4p3/7P/8/4R3/5PK1/8 b - -,-309"
"8/7p/pp2k1p1/3P4/P1P1K3/8/7P/8 b - -,325"
"8/8/8/1B2K1k1/8/2N5/8/8 b - -,206"
"8/8/4K1k1/1B6/8/2N5/8/8 b - -,197"
"8/8/4K2k/1B6/8/2N5/8/8 w - -,195"
"8/8/5K1k/1B6/8/2N5/8/8 b - -,205"
"8/7k/5K2/1B6/8/2N5/8/8 w - -,196"
"8/8/3KB3/8/5N2/8/1k6/8 w - -,163"
"6B1/8/8/8/8/2K1k3/8/6N1 w - -,194"
"8/8/8/1k6/3K4/8/2N2B2/8 b - -,212"
"8/8/8/8/3B1k2/3K4/1N6/8 w - -,187"
"8/8/8/8/3k1N2/1B3K2/8/8 b - -,173"
"8/8/1N1k4/1K6/3B4/8/8/8 w - -,184"
"2B5/8/k1K5/2N5/8/8/8/8 b - -,185"
"8/8/1k6/8/2K2B2/8/3N4/8 w - -,206"
"8/8/1k6/8/1K3B2/8/3N4/8 b - -,202"
"8/8/2k5/8/1K3B2/8/3N4/8 w - -,201"
"3k4/8/1B2K3/3N4/8/8/8/8 b - -,172"
"8/8/8/5K2/3k1N2/5B2/8/8 b - -,171"
"8/8/8/3k4/8/N2KB3/8/8 w - -,201"
"4B3/8/3K4/k1N5/8/8/8/8 b - -,198"
"8/8/3k4/8/3K4/8/8/6BB b - -,256"
"1B6/1p6/1kp5/8/8/3b4/8/3R3K b - -,281"
"8/8/4K1B1/4N3/3k4/8/8/8 b - -,186"
"1B6/8/8/3N4/3K4/5k2/8/8 b - -,198"
"8/5B2/2K5/k1N5/8/8/8/8 b - -,189"
"8/5B2/2K5/2N5/1k6/8/8/8 w - -,203"
"8/2K5/3N4/k7/8/1B6/8/8 w - -,178"
"8/8/2Nk4/1K6/8/3B4/8/8 b - -,206"
"8/2B5/k2K4/8/3N4/8/8/8 b - -,170"
"8/8/8/4N3/3k1K2/8/4B3/8 b - -,196"
"8/7N/3k4/5K2/8/1B6/8/8 b - -,175"
"8/7N/8/2k2K2/8/1B6/8/8 w - -,170"
"8/8/8/8/2K1N3/3Bk3/8/8 b - -,211"
"8/4B3/8/5KN1/8/6k1/8/8 w - -,162"
"8/1B6/8/8/3Nk3/2K5/8/8 b - -,208"
"8/8/8/k1KNB3/8/8/8/8 b - -,190"
"8/8/8/4k3/8/5K2/8/1N3B2 w - -,200"
"8/8/8/4k3/8/4K3/8/1N3B2 b - -,196"
"8/8/8/8/8/4k3/6K1/4BB2 w - -,297"
"8/R7/4pk2/1p3pr1/1P6/1KP5/6P1/8 w - -,-320"
"8/8/8/5B2/5K2/3N4/8/1k6 w - -,175"
"6B1/8/8/6k1/4K3/5N2/8/8 b - -,168"
"8/8/B7/4k3/2KN4/8/8/8 w - -,199"
"8/5k2/2R1n3/p3B3/4PP2/6P1/r7/2K5 b - -,237"
"8/5k2/2R1n3/p3B3/r3PP2/6P1/8/2K5 w - -,251"
"8/5k2/2R1n3/p3B3/4rP2/6P1/3K4/8 w - -,258"
"8/4k3/2R1n3/p7/4rP2/2B3P1/3K4/8 w - -,257"
"8/4k3/2R1n3/p7/r4P2/2BK2P1/8/8 w - -,298"
"3n4/4k3/2R5/p4P2/r7/2BK2P1/8/8 w - -,305"
"3n4/4k3/R7/p4P2/r7/2BK2P1/8/8 b - -,302"
"8/8/r7/Pk3pp1/8/4K1P1/5P2/R7 b - -,266"
"8/8/8/1B6/4kN2/8/4K3/8 w - -,208"
"2r4k/3R4/7p/3n4/4p2P/4P3/5P1K/8 b - -,-309"
"8/8/8/1K1k4/3B4/8/4N3/8 w - -,197"
"8/8/8/3k4/8/4K3/8/3B1N2 w - -,183"
"8/8/r5pp/P3k3/R7/4K1P1/5P2/8 w - -,390"
"4K3/6k1/8/5BN1/8/8/8/8 w - -,182"
"8/8/4k1B1/8/2K5/5N2/8/8 w - -,174"
"8/8/3k4/3B4/2K2N2/8/8/8 b - -,179"
"8/8/4N3/8/2B1k3/8/8/4K3 b - -,199"
"8/8/8/3B4/2K1N3/k7/8/8 b - -,195"
"8/8/8/6N1/1k6/8/2B5/4K3 b - -,203"
"8/5p2/r2k3p/P4P2/5K1P/8/8/R7 b - -,355"
"8/1BN5/8/2K5/5k2/8/8/8 w - -,172"
"3B4/5P1p/7r/5knp/8/5K2/7P/8 w - -,258"
"8/5P1p/7r/5kBp/8/5K2/7P/8 b - -,257"
"8/2B1N3/3K4/8/2k5/8/8/8 b - -,179"
